index;symbol;A;Z;N;color;stable;alpha decay;beta minus decay;beta plus decay;first decay;second decay;decay text;file name
664;Nd;145;60;85;s;true;false;false;false;;;;664_Nd145_stable
665;Nd;146;60;86;s;true;false;false;false;;;;665_Nd146_stable
666;Nd;147;60;87;b;false;false;true;false;β-;;β-;666_Nd147_bm
667;Nd;148;60;88;s;true;false;false;false;;;;667_Nd148_stable
668;Nd;149;60;89;b;false;false;true;false;β-;;β-;668_Nd149_bm
669;Nd;151;60;91;b;false;false;true;false;β-;;β-;669_Nd151_bm
670;Nd;152;60;92;b;false;false;true;false;β-;;β-;670_Nd152_bm
671;Pm;136;61;75;o;false;false;false;true;β+;;β+;671_Pm136_bp
672;Pm;139;61;78;o;false;false;false;true;β+;;β+;672_Pm139_bp
673;Pm;140;61;79;o;false;false;false;true;β+;;β+;673_Pm140_bp
674;Pm;141;61;80;o+o;false;false;false;true;β+;β+;β+, β+;674_Pm141_bp-bp
675;Pm;142;61;81;o;false;false;false;true;β+;;β+;675_Pm142_bp
676;Pm;143;61;82;o;false;false;false;true;β+;;β+;676_Pm143_bp
677;Pm;144;61;83;o;false;false;false;true;β+;;β+;677_Pm144_bp
678;Pm;145;61;84;o+g;false;true;false;true;β+;α;β+, α;678_Pm145_bp-a
679;Pm;146;61;85;o+b;false;false;true;true;β+;β-;β+, β-;679_Pm146_bp-bm
680;Pm;147;61;86;b;false;false;true;false;β-;;β-;680_Pm147_bm
681;Pm;148;61;87;b;false;false;true;false;β-;;β-;681_Pm148_bm
682;Pm;149;61;88;b;false;false;true;false;β-;;β-;682_Pm149_bm
683;Pm;150;61;89;b;false;false;true;false;β-;;β-;683_Pm150_bm
684;Pm;151;61;90;b;false;false;true;false;β-;;β-;684_Pm151_bm
685;Pm;152;61;91;b;false;false;true;false;β-;;β-;685_Pm152_bm
686;Pm;153;61;92;b;false;false;true;false;β-;;β-;686_Pm153_bm
687;Pm;154;61;93;b;false;false;true;false;β-;;β-;687_Pm154_bm
688;Sm;139;62;77;o;false;false;false;true;β+;;β+;688_Sm139_bp
689;Sm;140;62;78;o;false;false;false;true;β+;;β+;689_Sm140_bp
690;Sm;141;62;79;o;false;false;false;true;β+;;β+;690_Sm141_bp
691;Sm;142;62;80;o;false;false;false;true;β+;;β+;691_Sm142_bp
692;Sm;143;62;81;o;false;false;false;true;β+;;β+;692_Sm143_bp
693;Sm;144;62;82;s;true;false;false;false;;;;693_Sm144_stable
694;Sm;145;62;83;o;false;false;false;true;β+;;β+;694_Sm145_bp
695;Sm;146;62;84;g;false;true;false;false;α;;α;695_Sm146_a
696;Sm;147;62;85;g;false;true;false;false;α;;α;696_Sm147_a
697;Sm;148;62;86;g;false;true;false;false;α;;α;697_Sm148_a
698;Sm;149;62;87;s;true;false;false;false;;;;698_Sm149_stable
699;Sm;150;62;88;s;true;false;false;false;;;;699_Sm150_stable
700;Sm;151;62;89;b;false;false;true;false;β-;;β-;700_Sm151_bm
701;Sm;152;62;90;s;true;false;false;false;;;;701_Sm152_stable
702;Sm;153;62;91;b;false;false;true;false;β-;;β-;702_Sm153_bm
703;Sm;154;62;92;s;true;false;false;false;;;;703_Sm154_stable
704;Sm;155;62;93;b;false;false;true;false;β-;;β-;704_Sm155_bm
705;Sm;156;62;94;b;false;false;true;false;β-;;β-;705_Sm156_bm
706;Sm;157;62;95;b;false;false;true;false;β-;;β-;706_Sm157_bm
707;Eu;142;63;79;o;false;false;false;true;β+;;β+;707_Eu142_bp
708;Eu;143;63;80;o+o;false;false;false;true;β+;β+;β+, β+;708_Eu143_bp-bp
709;Eu;144;63;81;o;false;false;false;true;β+;;β+;709_Eu144_bp
710;Eu;145;63;82;o;false;false;false;true;β+;;β+;710_Eu145_bp
711;Eu;146;63;83;o;false;false;false;true;β+;;β+;711_Eu146_bp
712;Eu;147;63;84;o+g;false;true;false;true;β+;α;β+, α;712_Eu147_bp-a
713;Eu;148;63;85;o+g;false;true;false;true;β+;α;β+, α;713_Eu148_bp-a
714;Eu;149;63;86;o;false;false;false;true;β+;;β+;714_Eu149_bp
715;Eu;150;63;87;o;false;false;false;true;β+;;β+;715_Eu150_bp
716;Eu;151;63;88;s;true;false;false;false;;;;716_Eu151_stable
717;Eu;152;63;89;o+b;false;false;true;true;β+;β-;β+, β-;717_Eu152_bp-bm
718;Eu;153;63;90;s;true;false;false;false;;;;718_Eu153_stable
719;Eu;154;63;91;b+o;false;false;true;true;β-;β+;β-, β+;719_Eu154_bm-bp
720;Eu;155;63;92;b;false;false;true;false;β-;;β-;720_Eu155_bm
721;Eu;156;63;93;b;false;false;true;false;β-;;β-;721_Eu156_bm
722;Eu;157;63;94;b;false;false;true;false;β-;;β-;722_Eu157_bm
723;Eu;158;63;95;b;false;false;true;false;β-;;β-;723_Eu158_bm
724;Eu;159;63;96;b;false;false;true;false;β-;;β-;724_Eu159_bm
725;Gd;142;64;78;o;false;false;false;true;β+;;β+;725_Gd142_bp
726;Gd;144;64;80;o;false;false;false;true;β+;;β+;726_Gd144_bp
727;Gd;145;64;81;o;false;false;false;true;β+;;β+;727_Gd145_bp
728;Gd;146;64;82;o;false;false;false;true;β+;;β+;728_Gd146_bp
729;Gd;147;64;83;o;false;false;false;true;β+;;β+;729_Gd147_bp
730;Gd;148;64;84;g;false;true;false;false;α;;α;730_Gd148_a
731;Gd;149;64;85;o;false;false;false;true;β+;;β+;731_Gd149_bp
732;Gd;150;64;86;g;false;true;false;false;α;;α;732_Gd150_a
733;Gd;151;64;87;o+g;false;true;false;true;β+;α;β+, α;733_Gd151_bp-a
734;Gd;152;64;88;g;false;true;false;false;α;;α;734_Gd152_a
735;Gd;153;64;89;o;false;false;false;true;β+;;β+;735_Gd153_bp
736;Gd;154;64;90;s;true;false;false;false;;;;736_Gd154_stable
737;Gd;155;64;91;s;true;false;false;false;;;;737_Gd155_stable
738;Gd;156;64;92;s;true;false;false;false;;;;738_Gd156_stable
739;Gd;157;64;93;s;true;false;false;false;;;;739_Gd157_stable
740;Gd;158;64;94;s;true;false;false;false;;;;740_Gd158_stable
741;Gd;159;64;95;b;false;false;true;false;β-;;β-;741_Gd159_bm
742;Gd;160;64;96;s;true;false;false;false;;;;742_Gd160_stable
743;Gd;162;64;98;b;false;false;true;false;β-;;β-;743_Gd162_bm
744;Tb;146;65;81;o;false;false;false;true;β+;;β+;744_Tb146_bp
745;Tb;147;65;82;o;false;false;false;true;β+;;β+;745_Tb147_bp
746;Tb;148;65;83;o;false;false;false;true;β+;;β+;746_Tb148_bp
747;Tb;149;65;84;o+g;false;true;false;true;β+;α;β+, α;747_Tb149_bp-a
748;Tb;150;65;85;o+g;false;true;false;true;β+;α;β+, α;748_Tb150_bp-a
749;Tb;151;65;86;o+g;false;true;false;true;β+;α;β+, α;749_Tb151_bp-a
750;Tb;152;65;87;o;false;false;false;true;β+;;β+;750_Tb152_bp
751;Tb;153;65;88;o;false;false;false;true;β+;;β+;751_Tb153_bp
752;Tb;154;65;89;o;false;false;false;true;β+;;β+;752_Tb154_bp
753;Tb;155;65;90;o;false;false;false;true;β+;;β+;753_Tb155_bp
754;Tb;156;65;91;o;false;false;false;true;β+;;β+;754_Tb156_bp
755;Tb;157;65;92;o;false;false;false;true;β+;;β+;755_Tb157_bp
756;Tb;158;65;93;o+b;false;false;true;true;β+;β-;β+, β-;756_Tb158_bp-bm
757;Tb;159;65;94;s;true;false;false;false;;;;757_Tb159_stable
758;Tb;160;65;95;b;false;false;true;false;β-;;β-;758_Tb160_bm
759;Tb;161;65;96;b;false;false;true;false;β-;;β-;759_Tb161_bm
760;Tb;162;65;97;b;false;false;true;false;β-;;β-;760_Tb162_bm
761;Tb;163;65;98;b;false;false;true;false;β-;;β-;761_Tb163_bm
762;Tb;164;65;99;b;false;false;true;false;β-;;β-;762_Tb164_bm
763;Tb;165;65;100;b+b;false;false;true;false;β-;β-;β-, β-;763_Tb165_bm-bm
764;Dy;148;66;82;o;false;false;false;true;β+;;β+;764_Dy148_bp
765;Dy;149;66;83;o+o;false;false;false;true;β+;β+;β+, β+;765_Dy149_bp-bp
766;Dy;150;66;84;o+g;false;true;false;true;β+;α;β+, α;766_Dy150_bp-a
767;Dy;151;66;85;o+o;false;false;false;true;β+;β+;β+, β+;767_Dy151_bp-bp
768;Dy;152;66;86;o+g;false;true;false;true;β+;α;β+, α;768_Dy152_bp-a
769;Dy;153;66;87;o+g;false;true;false;true;β+;α;β+, α;769_Dy153_bp-a
770;Dy;154;66;88;g;false;true;false;false;α;;α;770_Dy154_a
771;Dy;155;66;89;o;false;false;false;true;β+;;β+;771_Dy155_bp
772;Dy;156;66;90;s;true;false;false;false;;;;772_Dy156_stable
773;Dy;157;66;91;o;false;false;false;true;β+;;β+;773_Dy157_bp
774;Dy;158;66;92;s;true;false;false;false;;;;774_Dy158_stable
775;Dy;159;66;93;o;false;false;false;true;β+;;β+;775_Dy159_bp
776;Dy;160;66;94;s;true;false;false;false;;;;776_Dy160_stable
777;Dy;161;66;95;s;true;false;false;false;;;;777_Dy161_stable
778;Dy;162;66;96;s;true;false;false;false;;;;778_Dy162_stable
779;Dy;163;66;97;s;true;false;false;false;;;;779_Dy163_stable
780;Dy;164;66;98;s;true;false;false;false;;;;780_Dy164_stable
781;Dy;165;66;99;b;false;false;true;false;β-;;β-;781_Dy165_bm
782;Dy;166;66;100;b;false;false;true;false;β-;;β-;782_Dy166_bm
783;Dy;167;66;101;b;false;false;true;false;β-;;β-;783_Dy167_bm
784;Dy;168;66;102;b;false;false;true;false;β-;;β-;784_Dy168_bm
785;Ho;150;67;83;o;false;false;false;true;β+;;β+;785_Ho150_bp
786;Ho;153;67;86;o+g;false;true;false;true;β+;α;β+, α;786_Ho153_bp-a
787;Ho;154;67;87;o+g;false;true;false;true;β+;α;β+, α;787_Ho154_bp-a
788;Ho;155;67;88;o;false;false;false;true;β+;;β+;788_Ho155_bp
789;Ho;156;67;89;o;false;false;false;true;β+;;β+;789_Ho156_bp
790;Ho;157;67;90;o;false;false;false;true;β+;;β+;790_Ho157_bp
791;Ho;159;67;92;o;false;false;false;true;β+;;β+;791_Ho159_bp
792;Ho;160;67;93;o;false;false;false;true;β+;;β+;792_Ho160_bp
793;Ho;161;67;94;o;false;false;false;true;β+;;β+;793_Ho161_bp
794;Ho;162;67;95;o;false;false;false;true;β+;;β+;794_Ho162_bp
795;Ho;163;67;96;o;false;false;false;true;β+;;β+;795_Ho163_bp
796;Ho;164;67;97;o+b;false;false;true;true;β+;β-;β+, β-;796_Ho164_bp-bm
797;Ho;165;67;98;s;true;false;false;false;;;;797_Ho165_stable
798;Ho;166;67;99;b;false;false;true;false;β-;;β-;798_Ho166_bm
799;Ho;167;67;100;b;false;false;true;false;β-;;β-;799_Ho167_bm
800;Ho;168;67;101;b;false;false;true;false;β-;;β-;800_Ho168_bm
801;Ho;170;67;103;b;false;false;true;false;β-;;β-;801_Ho170_bm
802;Er;154;68;86;o+g;false;true;false;true;β+;α;β+, α;802_Er154_bp-a
803;Er;156;68;88;o;false;false;false;true;β+;;β+;803_Er156_bp
804;Er;159;68;91;o;false;false;false;true;β+;;β+;804_Er159_bp
805;Er;161;68;93;o;false;false;false;true;β+;;β+;805_Er161_bp
806;Er;162;68;94;s;true;false;false;false;;;;806_Er162_stable
807;Er;163;68;95;o;false;false;false;true;β+;;β+;807_Er163_bp
808;Er;164;68;96;s;true;false;false;false;;;;808_Er164_stable
809;Er;165;68;97;o;false;false;false;true;β+;;β+;809_Er165_bp
810;Er;166;68;98;s;true;false;false;false;;;;810_Er166_stable
811;Er;167;68;99;s;true;false;false;false;;;;811_Er167_stable
812;Er;168;68;100;s;true;false;false;false;;;;812_Er168_stable
813;Er;169;68;101;b;false;false;true;false;β-;;β-;813_Er169_bm
814;Er;170;68;102;s;true;false;false;false;;;;814_Er170_stable
815;Er;171;68;103;b;false;false;true;false;β-;;β-;815_Er171_bm
816;Er;172;68;104;b;false;false;true;false;β-;;β-;816_Er172_bm
817;Er;173;68;105;b;false;false;true;false;β-;;β-;817_Er173_bm
818;Tm;161;69;92;o;false;false;false;true;β+;;β+;818_Tm161_bp
819;Tm;162;69;93;o;false;false;false;true;β+;;β+;819_Tm162_bp
820;Tm;163;69;94;o;false;false;false;true;β+;;β+;820_Tm163_bp
821;Tm;164;69;95;o;false;false;false;true;β+;;β+;821_Tm164_bp
822;Tm;165;69;96;o;false;false;false;true;β+;;β+;822_Tm165_bp
823;Tm;166;69;97;o;false;false;false;true;β+;;β+;823_Tm166_bp
824;Tm;167;69;98;o;false;false;false;true;β+;;β+;824_Tm167_bp
825;Tm;168;69;99;o+b;false;false;true;true;β+;β-;β+, β-;825_Tm168_bp-bm
826;Tm;169;69;100;s;true;false;false;false;;;;826_Tm169_stable
827;Tm;170;69;101;b+o;false;false;true;true;β-;β+;β-, β+;827_Tm170_bm-bp
828;Tm;171;69;102;b;false;false;true;false;β-;;β-;828_Tm171_bm
829;Tm;172;69;103;b;false;false;true;false;β-;;β-;829_Tm172_bm
830;Tm;173;69;104;b;false;false;true;false;β-;;β-;830_Tm173_bm
831;Tm;174;69;105;b;false;false;true;false;β-;;β-;831_Tm174_bm
832;Tm;175;69;106;b;false;false;true;false;β-;;β-;832_Tm175_bm
833;Tm;176;69;107;b;false;false;true;false;β-;;β-;833_Tm176_bm
834;Yb;162;70;92;o;false;false;false;true;β+;;β+;834_Yb162_bp
835;Yb;163;70;93;o;false;false;false;true;β+;;β+;835_Yb163_bp
836;Yb;164;70;94;o;false;false;false;true;β+;;β+;836_Yb164_bp
837;Yb;165;70;95;o;false;false;false;true;β+;;β+;837_Yb165_bp
838;Yb;166;70;96;o;false;false;false;true;β+;;β+;838_Yb166_bp
839;Yb;167;70;97;o;false;false;false;true;β+;;β+;839_Yb167_bp
840;Yb;168;70;98;s;true;false;false;false;;;;840_Yb168_stable
841;Yb;169;70;99;o;false;false;false;true;β+;;β+;841_Yb169_bp
842;Yb;170;70;100;s;true;false;false;false;;;;842_Yb170_stable
843;Yb;171;70;101;s;true;false;false;false;;;;843_Yb171_stable
844;Yb;172;70;102;s;true;false;false;false;;;;844_Yb172_stable
845;Yb;173;70;103;s;true;false;false;false;;;;845_Yb173_stable
846;Yb;174;70;104;s;true;false;false;false;;;;846_Yb174_stable
847;Yb;175;70;105;b;false;false;true;false;β-;;β-;847_Yb175_bm
848;Yb;176;70;106;s;true;false;false;false;;;;848_Yb176_stable
849;Yb;177;70;107;b;false;false;true;false;β-;;β-;849_Yb177_bm
850;Yb;178;70;108;b;false;false;true;false;β-;;β-;850_Yb178_bm
851;Yb;179;70;109;b;false;false;true;false;β-;;β-;851_Yb179_bm
852;Lu;165;71;94;o;false;false;false;true;β+;;β+;852_Lu165_bp
853;Lu;167;71;96;o;false;false;false;true;β+;;β+;853_Lu167_bp
854;Lu;169;71;98;o;false;false;false;true;β+;;β+;854_Lu169_bp
855;Lu;170;71;99;o;false;false;false;true;β+;;β+;855_Lu170_bp
856;Lu;171;71;100;o;false;false;false;true;β+;;β+;856_Lu171_bp
857;Lu;172;71;101;o;false;false;false;true;β+;;β+;857_Lu172_bp
858;Lu;173;71;102;o;false;false;false;true;β+;;β+;858_Lu173_bp
859;Lu;174;71;103;o;false;false;false;true;β+;;β+;859_Lu174_bp
860;Lu;175;71;104;s;true;false;false;false;;;;860_Lu175_stable
861;Lu;176;71;105;b;false;false;true;false;β-;;β-;861_Lu176_bm
862;Lu;177;71;106;b;false;false;true;false;β-;;β-;862_Lu177_bm
863;Lu;178;71;107;b;false;false;true;false;β-;;β-;863_Lu178_bm
864;Lu;179;71;108;b;false;false;true;false;β-;;β-;864_Lu179_bm
865;Lu;180;71;109;b;false;false;true;false;β-;;β-;865_Lu180_bm
866;Lu;181;71;110;b;false;false;true;false;β-;;β-;866_Lu181_bm
867;Hf;167;72;95;o;false;false;false;true;β+;;β+;867_Hf167_bp
868;Hf;169;72;97;o+o;false;false;false;true;β+;β+;β+, β+;868_Hf169_bp-bp
869;Hf;170;72;98;o;false;false;false;true;β+;;β+;869_Hf170_bp
870;Hf;172;72;100;o;false;false;false;true;β+;;β+;870_Hf172_bp
871;Hf;173;72;101;o;false;false;false;true;β+;;β+;871_Hf173_bp
872;Hf;174;72;102;g;false;true;false;false;α;;α;872_Hf174_a
873;Hf;175;72;103;o;false;false;false;true;β+;;β+;873_Hf175_bp
874;Hf;176;72;104;s;true;false;false;false;;;;874_Hf176_stable
875;Hf;177;72;105;s;true;false;false;false;;;;875_Hf177_stable
876;Hf;178;72;106;s;true;false;false;false;;;;876_Hf178_stable
877;Hf;179;72;107;s;true;false;false;false;;;;877_Hf179_stable
878;Hf;180;72;108;s;true;false;false;false;;;;878_Hf180_stable
879;Hf;181;72;109;b;false;false;true;false;β-;;β-;879_Hf181_bm
880;Hf;182;72;110;b;false;false;true;false;β-;;β-;880_Hf182_bm
881;Hf;183;72;111;b;false;false;true;false;β-;;β-;881_Hf183_bm
882;Hf;184;72;112;b;false;false;true;false;β-;;β-;882_Hf184_bm
883;Ta;170;73;97;o;false;false;false;true;β+;;β+;883_Ta170_bp
884;Ta;172;73;99;o;false;false;false;true;β+;;β+;884_Ta172_bp
885;Ta;173;73;100;o;false;false;false;true;β+;;β+;885_Ta173_bp
886;Ta;174;73;101;o;false;false;false;true;β+;;β+;886_Ta174_bp
887;Ta;175;73;102;o;false;false;false;true;β+;;β+;887_Ta175_bp
888;Ta;176;73;103;o;false;false;false;true;β+;;β+;888_Ta176_bp
889;Ta;177;73;104;o;false;false;false;true;β+;;β+;889_Ta177_bp
890;Ta;178;73;105;o;false;false;false;true;β+;;β+;890_Ta178_bp
891;Ta;179;73;106;o;false;false;false;true;β+;;β+;891_Ta179_bp
892;Ta;180;73;107;o+b;false;false;true;true;β+;β-;β+, β-;892_Ta180_bp-bm
893;Ta;181;73;108;s;true;false;false;false;;;;893_Ta181_stable
894;Ta;182;73;109;b;false;false;true;false;β-;;β-;894_Ta182_bm
895;Ta;183;73;110;b;false;false;true;false;β-;;β-;895_Ta183_bm
896;Ta;184;73;111;b;false;false;true;false;β-;;β-;896_Ta184_bm
897;Ta;185;73;112;b;false;false;true;false;β-;;β-;897_Ta185_bm
898;Ta;186;73;113;b;false;false;true;false;β-;;β-;898_Ta186_bm
899;W;177;74;103;o;false;false;false;true;β+;;β+;899_W177_bp
900;W;178;74;104;o;false;false;false;true;β+;;β+;900_W178_bp
901;W;179;74;105;o;false;false;false;true;β+;;β+;901_W179_bp
902;W;180;74;106;s;true;false;false;false;;;;902_W180_stable
903;W;181;74;107;o;false;false;false;true;β+;;β+;903_W181_bp
904;W;182;74;108;s;true;false;false;false;;;;904_W182_stable
905;W;183;74;109;s;true;false;false;false;;;;905_W183_stable
906;W;184;74;110;s;true;false;false;false;;;;906_W184_stable
907;W;185;74;111;b;false;false;true;false;β-;;β-;907_W185_bm
908;W;186;74;112;s;true;false;false;false;;;;908_W186_stable
909;W;187;74;113;b;false;false;true;false;β-;;β-;909_W187_bm
910;W;188;74;114;b;false;false;true;false;β-;;β-;910_W188_bm
911;W;190;74;116;b;false;false;true;false;β-;;β-;911_W190_bm
912;Re;178;75;103;o;false;false;false;true;β+;;β+;912_Re178_bp
913;Re;179;75;104;o+o;false;false;false;true;β+;β+;β+, β+;913_Re179_bp-bp
914;Re;180;75;105;o;false;false;false;true;β+;;β+;914_Re180_bp
915;Re;181;75;106;o;false;false;false;true;β+;;β+;915_Re181_bp
916;Re;182;75;107;o;false;false;false;true;β+;;β+;916_Re182_bp
917;Re;183;75;108;o;false;false;false;true;β+;;β+;917_Re183_bp
918;Re;184;75;109;o;false;false;false;true;β+;;β+;918_Re184_bp
919;Re;185;75;110;s;true;false;false;false;;;;919_Re185_stable
920;Re;186;75;111;b+o;false;false;true;true;β-;β+;β-, β+;920_Re186_bm-bp
921;Re;187;75;112;b;false;false;true;false;β-;;β-;921_Re187_bm
922;Re;188;75;113;b;false;false;true;false;β-;;β-;922_Re188_bm
923;Re;189;75;114;b+b;false;false;true;false;β-;β-;β-, β-;923_Re189_bm-bm
924;Re;190;75;115;b;false;false;true;false;β-;;β-;924_Re190_bm
925;Os;180;76;104;o;false;false;false;true;β+;;β+;925_Os180_bp
926;Os;181;76;105;o;false;false;false;true;β+;;β+;926_Os181_bp
927;Os;182;76;106;o;false;false;false;true;β+;;β+;927_Os182_bp
928;Os;183;76;107;o;false;false;false;true;β+;;β+;928_Os183_bp
929;Os;184;76;108;s;true;false;false;false;;;;929_Os184_stable
930;Os;185;76;109;o;false;false;false;true;β+;;β+;930_Os185_bp
931;Os;186;76;110;g;false;true;false;false;α;;α;931_Os186_a
932;Os;187;76;111;s;true;false;false;false;;;;932_Os187_stable
933;Os;188;76;112;s;true;false;false;false;;;;933_Os188_stable
934;Os;189;76;113;s;true;false;false;false;;;;934_Os189_stable
935;Os;190;76;114;s;true;false;false;false;;;;935_Os190_stable
936;Os;191;76;115;b;false;false;true;false;β-;;β-;936_Os191_bm
937;Os;192;76;116;s;true;false;false;false;;;;937_Os192_stable
938;Os;193;76;117;b+b;false;false;true;false;β-;β-;β-, β-;938_Os193_bm-bm
939;Os;194;76;118;b;false;false;true;false;β-;;β-;939_Os194_bm
940;Os;196;76;120;b;false;false;true;false;β-;;β-;940_Os196_bm
941;Ir;180;77;103;o;false;false;false;true;β+;;β+;941_Ir180_bp
942;Ir;182;77;105;o;false;false;false;true;β+;;β+;942_Ir182_bp
943;Ir;183;77;106;o+o;false;false;false;true;β+;β+;β+, β+;943_Ir183_bp-bp
944;Ir;184;77;107;o;false;false;false;true;β+;;β+;944_Ir184_bp
945;Ir;185;77;108;o;false;false;false;true;β+;;β+;945_Ir185_bp
946;Ir;186;77;109;o;false;false;false;true;β+;;β+;946_Ir186_bp
947;Ir;187;77;110;o;false;false;false;true;β+;;β+;947_Ir187_bp
948;Ir;188;77;111;o;false;false;false;true;β+;;β+;948_Ir188_bp
949;Ir;189;77;112;o+o;false;false;false;true;β+;β+;β+, β+;949_Ir189_bp-bp
950;Ir;190;77;113;o;false;false;false;true;β+;;β+;950_Ir190_bp
951;Ir;191;77;114;s;true;false;false;false;;;;951_Ir191_stable
952;Ir;192;77;115;b+o;false;false;true;true;β-;β+;β-, β+;952_Ir192_bm-bp
953;Ir;193;77;116;s;true;false;false;false;;;;953_Ir193_stable
954;Ir;194;77;117;b;false;false;true;false;β-;;β-;954_Ir194_bm
955;Ir;195;77;118;b;false;false;true;false;β-;;β-;955_Ir195_bm
956;Ir;196;77;119;b;false;false;true;false;β-;;β-;956_Ir196_bm
957;Pt;184;78;106;o+g;false;true;false;true;β+;α;β+, α;957_Pt184_bp-a
958;Pt;186;78;108;o+o;false;false;false;true;β+;β+;β+, β+;958_Pt186_bp-bp
959;Pt;187;78;109;o;false;false;false;true;β+;;β+;959_Pt187_bp
960;Pt;188;78;110;o+g;false;true;false;true;β+;α;β+, α;960_Pt188_bp-a
961;Pt;189;78;111;o;false;false;false;true;β+;;β+;961_Pt189_bp
962;Pt;190;78;112;g;false;true;false;false;α;;α;962_Pt190_a
963;Pt;191;78;113;o;false;false;false;true;β+;;β+;963_Pt191_bp
964;Pt;192;78;114;s;true;false;false;false;;;;964_Pt192_stable
965;Pt;193;78;115;o;false;false;false;true;β+;;β+;965_Pt193_bp
966;Pt;194;78;116;s;true;false;false;false;;;;966_Pt194_stable
967;Pt;195;78;117;s;true;false;false;false;;;;967_Pt195_stable
968;Pt;196;78;118;s;true;false;false;false;;;;968_Pt196_stable
969;Pt;197;78;119;b;false;false;true;false;β-;;β-;969_Pt197_bm
970;Pt;198;78;120;s;true;false;false;false;;;;970_Pt198_stable
971;Pt;199;78;121;b;false;false;true;false;β-;;β-;971_Pt199_bm
972;Pt;200;78;122;b;false;false;true;false;β-;;β-;972_Pt200_bm
973;Pt;202;78;124;b;false;false;true;false;β-;;β-;973_Pt202_bm
974;Au;186;79;107;o;false;false;false;true;β+;;β+;974_Au186_bp
975;Au;187;79;108;o+g;false;true;false;true;β+;α;β+, α;975_Au187_bp-a
976;Au;190;79;111;o;false;false;false;true;β+;;β+;976_Au190_bp
977;Au;191;79;112;o;false;false;false;true;β+;;β+;977_Au191_bp
978;Au;192;79;113;o;false;false;false;true;β+;;β+;978_Au192_bp
979;Au;193;79;114;o;false;false;false;true;β+;;β+;979_Au193_bp
980;Au;194;79;115;o;false;false;false;true;β+;;β+;980_Au194_bp
981;Au;195;79;116;o;false;false;false;true;β+;;β+;981_Au195_bp
982;Au;196;79;117;o+b;false;false;true;true;β+;β-;β+, β-;982_Au196_bp-bm
983;Au;197;79;118;s;true;false;false;false;;;;983_Au197_stable
984;Au;198;79;119;b;false;false;true;false;β-;;β-;984_Au198_bm
985;Au;199;79;120;b;false;false;true;false;β-;;β-;985_Au199_bm
986;Au;200;79;121;b;false;false;true;false;β-;;β-;986_Au200_bm
987;Au;201;79;122;b;false;false;true;false;β-;;β-;987_Au201_bm
988;Au;202;79;123;b;false;false;true;false;β-;;β-;988_Au202_bm
989;Hg;190;80;110;o;false;false;false;true;β+;;β+;989_Hg190_bp
990;Hg;192;80;112;o;false;false;false;true;β+;;β+;990_Hg192_bp
991;Hg;193;80;113;o+o;false;false;false;true;β+;β+;β+, β+;991_Hg193_bp-bp
992;Hg;194;80;114;o;false;false;false;true;β+;;β+;992_Hg194_bp
993;Hg;195;80;115;o;false;false;false;true;β+;;β+;993_Hg195_bp
994;Hg;196;80;116;s;true;false;false;false;;;;994_Hg196_stable
995;Hg;197;80;117;o;false;false;false;true;β+;;β+;995_Hg197_bp
996;Hg;198;80;118;s;true;false;false;false;;;;996_Hg198_stable
997;Hg;199;80;119;s;true;false;false;false;;;;997_Hg199_stable
998;Hg;200;80;120;s;true;false;false;false;;;;998_Hg200_stable
999;Hg;201;80;121;s;true;false;false;false;;;;999_Hg201_stable
1.000;Hg;202;80;122;s;true;false;false;false;;;;1.000_Hg202_stable
1.001;Hg;203;80;123;b;false;false;true;false;β-;;β-;1.001_Hg203_bm
1.002;Hg;204;80;124;s;true;false;false;false;;;;1.002_Hg204_stable
1.003;Hg;205;80;125;b;false;false;true;false;β-;;β-;1.003_Hg205_bm
1.004;Hg;206;80;126;b;false;false;true;false;β-;;β-;1.004_Hg206_bm
1.005;Hg;207;80;127;b;false;false;true;false;β-;;β-;1.005_Hg207_bm
1.006;Tl;190;81;109;o;false;false;false;true;β+;;β+;1.006_Tl190_bp
1.007;Tl;194;81;113;o;false;false;false;true;β+;;β+;1.007_Tl194_bp
1.008;Tl;195;81;114;o+o;false;false;false;true;β+;β+;β+, β+;1.008_Tl195_bp-bp
1.009;Tl;196;81;115;o;false;false;false;true;β+;;β+;1.009_Tl196_bp
1.010;Tl;197;81;116;o;false;false;false;true;β+;;β+;1.010_Tl197_bp
1.011;Tl;198;81;117;o;false;false;false;true;β+;;β+;1.011_Tl198_bp
1.012;Tl;199;81;118;o;false;false;false;true;β+;;β+;1.012_Tl199_bp
1.013;Tl;200;81;119;o;false;false;false;true;β+;;β+;1.013_Tl200_bp
1.014;Tl;201;81;120;o;false;false;false;true;β+;;β+;1.014_Tl201_bp
1.015;Tl;202;81;121;o;false;false;false;true;β+;;β+;1.015_Tl202_bp
1.016;Tl;203;81;122;s;true;false;false;false;;;;1.016_Tl203_stable
1.017;Tl;204;81;123;b+o;false;false;true;true;β-;β+;β-, β+;1.017_Tl204_bm-bp
1.018;Tl;205;81;124;s;true;false;false;false;;;;1.018_Tl205_stable
1.019;Tl;206;81;125;b;false;false;true;false;β-;;β-;1.019_Tl206_bm
1.020;Tl;207;81;126;b;false;false;true;false;β-;;β-;1.020_Tl207_bm
1.021;Tl;208;81;127;b;false;false;true;false;β-;;β-;1.021_Tl208_bm
